metro,tool_name,CarrierGasLinePressureTEOS2_mean_10,CarrierGasLinePressureTEOS2_mean_12,CarrierGasLinePressureTEOS_mean_10,CarrierGasLinePressureTEOS_mean_12,ChamberPressure_mean_10,ChamberPressure_mean_12,HeTEPOGasFlow_mean_12,HeatExchangerResistivity_mean_10,HeatExchangerResistivity_mean_12,HeatExchangerTemp1_mean_12,HeatExchangerTemp2_mean_10,HeatExchangerTemp2_mean_12,HeatExchangerTemp3_mean_10,HeatExchangerTemp3_mean_12,HeaterLiftPosition_mean_10,HeaterOutputPowerPercent_mean_10,HeaterOutputPowerPercent_mean_12,HeaterTemp_mean_10,N2GasFlow_mean_10,N2GasFlow_mean_12,N2TEBGasFlow_mean_10,N2TEBGasFlow_mean_12,N2TEOSGasFlow_mean_10,N2TEOSGasFlow_mean_12,NF3GasFlow_mean_10,NF3GasFlow_mean_12,O3GasFlow_mean_10,O3GasFlow_mean_12,OzoneBackPressure_mean_10,OzoneBackPressure_mean_12,OzoneConc_mean_10,OzoneConc_mean_12,PinLiftPosition_mean_10,ShowerheadHeaterSpacingOtherSide_mean_10,ShowerheadHeaterSpacing_mean_10,StepElapsedTime_mean_10,StepElapsedTime_mean_12,TEBFlow_mean_10,TEOSFlow_mean_10,TEOSFlow_mean_12,TEPOFlow_mean_10,ThrottleValveAngle_mean_10,ThrottleValveAngle_mean_12
1965.0764,BPPR4D01A1,7.587134211,7.594294004,8.146627566,8.168762089,100.2060895,99.97326279,7000.2,3389814.487,3399267.399,70.03663004,70.38638781,70.42735043,75.2097365,75.14041514,1.734791761,36.74193548,36.25,480.2193548,1419.512903,1419.5,5999.041935,5999.5,7000.625806,7000.2,16.39032258,15.875,15086.51613,15090.0,40.17019336,40.19399929,12.44419359,12.47999954,102.0,0.246001813,0.260008239,15.00758065,1.5665,0.241248387,2.298906452,2.3017,0.202467742,16.72447053,16.69337672
1954.8716,BPPR4D01A2,7.587134211,7.594294004,8.146627566,8.168762089,100.2060895,99.97326279,7000.2,3389814.487,3399267.399,70.03663004,70.38638781,70.42735043,75.2097365,75.14041514,1.707398187,35.64516129,34.25,480.3225806,1419.512903,1419.5,5999.041935,5999.5,7000.625806,7000.2,16.39032258,15.875,15086.51613,15090.0,40.17019336,40.19399929,12.44419359,12.47999954,113.0,0.260008239,0.246001813,15.00758065,1.5665,0.241248387,2.298906452,2.3017,0.202467742,16.72447053,16.69337672
1986.962,BPPR4D01A1,7.679228801,7.656673114,8.245460785,8.23549323,100.19289,99.93107843,7000.5,3301587.302,3301587.302,70.03663004,70.45492142,70.54945055,75.22234038,75.14041514,1.734791761,35.77419355,37.75,480.2129032,1419.8,1419.925,5999.593548,5999.5,6999.567742,7000.5,16.90967742,17.15,15084.77419,15090.0,40.18335481,40.1730001,12.4422581,12.47250009,102.0,0.246001813,0.260008239,15.40435484,1.75625,0.246090323,2.298009677,2.301275,0.204264516,16.71747096,16.67432173
1979.0056,BPPR4D01A2,7.679228801,7.656673114,8.245460785,8.23549323,100.19289,99.93107843,7000.5,3301587.302,3301587.302,70.03663004,70.45492142,70.54945055,75.22234038,75.14041514,1.707398187,36.22580645,35.5,480.2645161,1419.8,1419.925,5999.593548,5999.5,6999.567742,7000.5,16.90967742,17.15,15084.77419,15090.0,40.18335481,40.1730001,12.4422581,12.47250009,113.0,0.260008239,0.246001813,15.40435484,1.75625,0.246090323,2.298009677,2.301275,0.204264516,16.71747096,16.67432173
1938.3636,BPPR4D01A1,7.709178262,7.719052224,8.316590753,8.309477756,100.1995088,99.97390175,7000.2,3301587.302,3301587.302,70.03663004,70.37378392,70.4029304,75.22234038,75.14041514,1.734791761,36.12903226,36.5,480.2903226,1419.687097,1419.825,6000.9,5999.2,7001.019355,6999.9,17.79354839,17.85,15085.74194,15087.0,40.18722577,40.1699996,12.45032255,12.48749971,102.0,0.246001813,0.260008239,15.17919355,1.525,0.245948387,2.297245161,2.310875,0.204229032,16.74192515,16.71140172
1927.4424,BPPR4D01A2,7.709178262,7.719052224,8.316590753,8.309477756,100.1995088,99.97390175,7000.2,3301587.302,3301587.302,70.03663004,70.37378392,70.4029304,75.22234038,75.14041514,1.707398187,36.06451613,34.5,480.3354839,1419.687097,1419.825,6000.9,5999.2,7001.019355,6999.9,17.79354839,17.85,15085.74194,15087.0,40.18722577,40.1699996,12.45032255,12.48749971,113.0,0.260008239,0.246001813,15.17919355,1.525,0.245948387,2.297245161,2.310875,0.204229032,16.74192515,16.71140172
1937.22,BPPR4D01A2,7.686154614,7.727756286,8.331752667,8.308027079,100.185145,99.96897984,7000.2,3386663.516,3374847.375,70.03663004,70.38953878,70.4029304,75.15932097,75.23809524,1.707398187,36.06451613,35.5,480.2516129,1419.741935,1420.0,5998.967742,5999.5,6999.451613,6999.6,17.63548387,17.825,15084.0,15082.5,40.18529006,40.19999957,12.44935482,12.47749972,113.0,0.260008239,0.246001813,15.68148387,2.031,0.246654839,2.300558065,2.310075,0.204835484,16.7483045,16.71912671
1960.202,BPPR4D01A1,7.686154614,7.727756286,8.331752667,8.308027079,100.185145,99.96897984,7000.2,3386663.516,3374847.375,70.03663004,70.38953878,70.4029304,75.15932097,75.23809524,1.734791761,36.51612903,36.0,480.2645161,1419.741935,1420.0,5998.967742,5999.5,6999.451613,6999.6,17.63548387,17.825,15084.0,15082.5,40.18529006,40.19999957,12.44935482,12.47749972,102.0,0.246001813,0.260008239,15.68148387,2.031,0.246654839,2.300558065,2.310075,0.204835484,16.7483045,16.71912671
2052.8372,BPPR4D01A2,7.805548839,7.811895551,8.345019342,8.371856867,100.1757817,99.95318651,7000.2,3301587.302,3301587.302,70.03663004,70.40903541,70.37851038,75.18009768,75.14041514,1.707398187,35.8125,36.75,480.30625,1419.578125,1419.9,5999.078125,5999.8,7000.46875,7000.2,17.496875,17.85,15089.8125,15090.0,40.17524976,40.18499994,12.44906244,12.47749972,113.0,0.260008239,0.246001813,15.94525,1.80775,0.250828125,2.297175,2.298825,0.20719375,16.73492004,16.69955672
2062.47,BPPR4D01A1,7.805548839,7.811895551,8.345019342,8.371856867,100.1757817,99.95318651,7000.2,3301587.302,3301587.302,70.03663004,70.40903541,70.37851038,75.18009768,75.14041514,1.734791761,36.15625,35.5,480.265625,1419.578125,1419.9,5999.078125,5999.8,7000.46875,7000.2,17.496875,17.85,15089.8125,15090.0,40.17524976,40.18499994,12.44906244,12.47749972,102.0,0.246001813,0.260008239,15.94525,1.80775,0.250828125,2.297175,2.298825,0.20719375,16.73492004,16.69955672
